,Star_Name,Distance,Mass,Radius,Star_name.1,Distance.1,Mass.1,Radius.1
0,Sun,1,1,1,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224
1,Sirius,2.1,1.71,25.4,2,2MASS J00040288-6410358,192.0,0.018137172
2,Canopus,15,71,"13,500",4,2MASS J00242463-0158201,37.7,0.075412452
3,Alpha Centauri,1.1,1.2,2,6,2MASS J00274197+0503417,236.0,0.029592228
4,Arcturus,1.1,26,170,8,2MASSW J0030300-145033,87.2,0.051547752
5,Vega,2.2,2.7,50,9,2MASS J00332386-1521309 [de],131.0,0.027683052
6,Capella,2.6,12,150,10,2MASS J00345157+0523050,31.0,0.040092696
7,Rigel,23,78.9,"120,000",11,2MASS 0036+1821,28.6,0.040092696
8,Procyon,1.5,1.9,7.7,12,2MASSW J0045214+163445,57.0,0.021955524
9,Betelgeuse,20,950,"60,000",13,WISEP J004701.06+680352.1 [fr],40.0,0.011455056
10,Achernar,6.7,9.3,"3,000",14,2MASS J00501994-3322402 [de],34.0,0.03818352
11,Hadar,10.5,8.6,"42,000",16,2MASS J00584253-0651239 [de],96.0,0.027683052
12,Altair,1.8,1.8,10.5,18,2MASSI J0103320+193536,70.0,0.049638576
13,Acrux,18,8.9,"25,000",19,SDSSp J010752.33+004156.1 [de],51.0,0.049638576
14,Aldebaran,1.5,44,520,20,2MASSI J0117474-340325 [de],163.0,0.01909176
15,Antares,12,680,"75,000",21,2MASS J01415823-4633574 [de],130.0,0.01909176
16,Spica,11.43,7.47,"20,512",22,SDSS J015141.69+124429.6,70.0,0.044865636
17,Pollux,1.9,8.8,43,26,SDSS J020742.48+000056.2 [de],111.0,0.044865636
18,Fomalhaut,1.9,1.8,16.6,27,2MASS J02103857-3015313,101.0,0.01431882
19,Deneb,19,203,"200,000",28,2MASS J02340093-6442068,155.0,0.01909176
20,Mimosa,16,8.4,"34,000",29,2MASS J02411151-0326587 [de],152.0,0.025773876
21,Regulus,3.8,3.1,290,30,2MASS J02431371−2453298,35.0,0.031501404
22,Adhara,12.5,14,"39,000",31,LP 771-21,53.0,0.074457864
23,Shaula,14.5,8.8,"36,000",33,2MASS J02535980+3206373,184.0,0.06204822
24,Castor,2.8,2.4,30,34,WISE J0254+0223,24.0,0.06204822
25,Gacrux,1.5,84,820,35,DEN 0255-4700,16.2,0.07636704
26,Bellatrix,8.6,5.8,"9,200",36,2MASS J03185403-3421292 [de],45.0,0.046774812
27,Elnath,5.0,4.2,700,37,2MASS J03205965+1854233,47.0,0.084003744
28,Miaplacidus,3.5,6.8,290,38,2MASS J03231002-4631237,192.0,0.021955524
29,Alnilam,32,42,"380,000",39,SDSS J032553.17+042540.1,59.0,0.04295646
30,Gamma Velorum,9.0,6,"170,000",40,2MASS J03264225-2102057 [de],80.0,0.017182584
31,Alnair,4.0,3.4,260,41,2MASS J03284265+2302051 [de],98.0,0.051547752
32,Alioth,2.9,4.2,110,42,2MASS J03341218-4953322,27.0,0.069684924
33,Alnitak,33,20,"120,000",43,LP 944-20,20.9,0.069684924
34,Dubhe,4.25,30,300,44,2MASP J0345432+254023,88.0,0.070639512
35,Mirfak,8.5,68,"5,000",45,Teide 1,380.0,0.05250234
36,Wezen,17,200,"82,000",46,2MASS J03510004-0052452,48.0,0.097367976
37,Sargas,5.7,26,"1,800",47,2MASS J03552337+1133437,29.8,0.01909176
